record_type,n_data,N,sqrtN,M,r,R,C,delta_mode,Delta,tau,gamma,target,t,t_over_sqrtN,t_over_tau,F_exact,F_BJ,t_solution_exact,t_solution_BJ,fit_slope_through_origin
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,769.7073497444035,12.026677339756304,0.9507923269391159,0.9997732346979551,0.9999255844899542,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,770.5175680072923,12.039337000113942,0.9517931609674728,0.9997533381590792,0.9999263253710996,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,771.3277862701812,12.05199666047158,0.9527939949958297,0.999734384422682,0.9999270588760292,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,772.13800453307,12.064656320829219,0.9537948290241867,0.999716684897165,0.9999277850781804,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,772.9482227959589,12.077315981186858,0.9547956630525438,0.9997005461061943,0.9999285040502598,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,773.7584410588478,12.089975641544497,0.9557964970809008,0.9996862652124905,0.99992921586425,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,774.5686593217366,12.102635301902135,0.9567973311092577,0.9996741252783641,0.9999299205914169,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,775.3788775846255,12.115294962259773,0.9577981651376146,0.999664390281495,0.9999306183023172,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,776.1890958475143,12.12795462261741,0.9587989991659716,0.9996572999067896,0.9999313090668046,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,776.9993141104031,12.140614282975049,0.9597998331943286,0.999653064137406,0.9999319929540378,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,777.809532373292,12.153273943332687,0.9608006672226855,0.9996518576701916,0.9999326700324865,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,778.6197506361808,12.165933603690325,0.9618015012510425,0.9996538141828897,0.9999333403699394,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,779.4299688990696,12.178593264047963,0.9628023352793994,0.9996590204823614,0.9999340040335096,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,780.2401871619585,12.191252924405601,0.9638031693077563,0.9996675105649604,0.9999346610896424,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,781.0504054248473,12.20391258476324,0.9648040033361133,0.9996792596218054,0.9999353116041214,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,781.8606236877362,12.216572245120878,0.9658048373644703,0.9996941780232298,0.9999359556420754,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,782.670841950625,12.229231905478516,0.9668056713928272,0.999712105318026,0.9999365932679847,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,783.4810602135138,12.241891565836154,0.9678065054211842,0.9997328042842051,0.9999372245456877,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,784.2912784764027,12.254551226193792,0.9688073394495411,0.9997559550689743,0.999937849538387,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,785.1014967392916,12.267210886551432,0.9698081734778983,0.9997811494563164,0.9999384683086563,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,785.9117150021805,12.27987054690907,0.9708090075062552,0.9998078853010981,0.9999390809184461,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,786.7219332650693,12.292530207266708,0.9718098415346121,0.9998355611688777,0.9999396874290901,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,787.5321515279581,12.305189867624346,0.9728106755629691,0.9998634712206387,0.9999402879013114,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,788.342369790847,12.317849527981984,0.973811509591326,0.9998908003814757,0.9999408823952287,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,789.1525880537358,12.330509188339622,0.974812343619683,0.999916619831801,0.999941470970362,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,789.9628063166247,12.34316884869726,0.97581317764804,0.9999398828589532,0.9999420536856386,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,790.7730245795135,12.355828509054898,0.9768140116763969,0.9999594211061642,0.9999426305993994,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,791.5832428424023,12.368488169412537,0.9778148457047539,0.9999739412546247,0.9999432017694042,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,792.3934611052912,12.381147829770175,0.9788156797331108,0.9999820221729939,0.9999437672528378,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,793.20367936818,12.393807490127813,0.9798165137614678,0.9999821125670122,0.9999443271063161,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,794.0138976310689,12.406467150485451,0.9808173477898248,0.999972529159982,0.9999448813858905,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,794.8241158939577,12.419126810843089,0.9818181818181817,0.9999514554327642,0.9999454301470552,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,795.6343341568465,12.431786471200727,0.9828190158465386,0.9999169409495865,0.9999459734447512,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,796.4445524197354,12.444446131558365,0.9838198498748956,0.9998669012934307,0.999946511333373,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,797.2547706826242,12.457105791916003,0.9848206839032526,0.9997991186320201,0.9999470438667732,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,798.0649889455132,12.469765452273643,0.9858215179316097,0.9997112429325093,0.9999475710982687,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,798.875207208402,12.482425112631281,0.9868223519599666,0.9996007938399079,0.999948093080645,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,799.6854254712908,12.49508477298892,0.9878231859883235,0.9994651632310401,0.9999486098661625,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,800.4956437341797,12.507744433346557,0.9888240200166806,0.9993016184524617,0.9999491215065611,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,801.3058619970685,12.520404093704196,0.9898248540450375,0.9991073062473352,0.9999496280530658,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,802.1160802599574,12.533063754061834,0.9908256880733944,0.9988792573726211,0.9999501295563911,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,802.9262985228462,12.545723414419472,0.9918265221017514,0.9986143919043903,0.999950626066747,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,803.736516785735,12.55838307477711,0.9928273561301083,0.998309525225296,0.9999511176338438,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,804.5467350486239,12.571042735134748,0.9938281901584654,0.9979613746845815,0.9999516043068963,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,805.3569533115127,12.583702395492386,0.9948290241868223,0.9975665669172293,0.9999520861346298,357.0776195278951,372.87963450946785,
